categoria,sarima_mape,prophet_mape,lightgbm_mape,sku_farm_id
Antigripales y Antitusivos,20.93,19.01,17.72,45
Genéricos Cardiovasculares,20.1,20.32,19.84,26
Analgésicos y Antiinflamatorios OTC,30.86,17.5,21.32,38
Antidepresivos y Ansiolíticos,28.24,20.27,21.45,32
Antibióticos Sistémicos,23.45,23.92,22.15,26
Antiácidos y Digestivos,24.83,24.11,22.16,26
Monitores de Salud (Tensiómetros Digitales),24.83,23.9,22.94,23
Inmunosupresores,28.57,24.12,23.12,33
Repelentes de Insectos,26.28,24.23,23.53,33
Genéricos del Sistema Nervioso,29.44,22.19,23.97,34
